treatment,genotype,row number,plant number,tbn, Plant Height (cm),tiller #,Tiller 1 Length (cm),Tiller 2 Length (cm),Tiller 3 Length (cm),Tiller 4 Length (cm),Tiller 5 Length (cm),Tiller 6 Length (cm),Tiller 7 Length (cm),Tiller 8 Length (cm),Tiller 9 Length (cm),,Average Tiller Height (cm),Average tiller height/Plant Height
,,455,1,Too small,,,,,,,,,,,,,,
,,455,2,8,,,,,,,,,,,,,,
,,455,3,7,,,,,,,,,,,,,,
,,455,4,9,,,,,,,,,,,,,,
,,455,5,9,,,,,,,,,,,,,,
,,260,1,8,,,,,,,,,,,,,,
,,260,2,Too small,,,,,,,,,,,,,,
,,260,3,Too small,,,,,,,,,,,,,,
,,260,4,Too small,,,,,,,,,,,,,,
,,260,5,Too small,,,,,,,,,,,,,,
,,261,1,11,,,,,,,,,,,,,,
,,261,2,Too small,,,,,,,,,,,,,,
,,261,3,Too small,,,,,,,,,,,,,,
,,261,4,Too small,,,,,,,,,,,,,,
,,261,5,10,,,,,,,,,,,,,,
,,261,6,9,,,,,,,,,,,,,,
,,261,7,Too small,,,,,,,,,,,,,,
,,262,1,6,,,,,,,,,,,,,,
,,262,2,5,,,,,,,,,,,,,,
,,262,3,9,,,,,,,,,,,,,,
,,262,4,6,,,,,,,,,,,,,,
,,262,5,5,,,,,,,,,,,,,,
,,262,6,6,,,,,,,,,,,,,,
,,262,7,6,,,,,,,,,,,,,,
,,262,8,7,,,,,,,,,,,,,,
,,262,9,6,,,,,,,,,,,,,,
,,262,10,Too small,,,,,,,,,,,,,,
,,263,1,5,,,,,,,,,,,,,,
,,263,2,5,,,,,,,,,,,,,,
,,263,3,8,,,,,,,,,,,,,,
,,263,4,5,,,,,,,,,,,,,,
,,263,5,5,,,,,,,,,,,,,,
,,263,6,6,,,,,,,,,,,,,,
,,263,7,6,,,,,,,,,,,,,,
,,263,8,3,,,,,,,,,,,,,,
,,264,1,6,,,,,,,,,,,,,,
,,264,2,6,,,,,,,,,,,,,,
,,264,3,3,,,,,,,,,,,,,,
,,264,4,6,,,,,,,,,,,,,,
,,264,5,7,,,,,,,,,,,,,,
,,264,6,5,,,,,,,,,,,,,,
,,264,7,5,,,,,,,,,,,,,,
,,264,8,7,,,,,,,,,,,,,,
,,264,9,5,,,,,,,,,,,,,,
,,265,1,6,,,,,,,,,,,,,,
,,265,2,4,,,,,,,,,,,,,,
,,265,3,6,,,,,,,,,,,,,,
,,265,4,6,,,,,,,,,,,,,,
,,265,5,8,,,,,,,,,,,,,,
,,265,6,8,,,,,,,,,,,,,,
,,265,7,5,,,,,,,,,,,,,,
,gt1ra3B73,266,1,9,185,4,57,46,28,27,,,,,,,158.00,0.8540540541
,gt1ra3B73,266,2,7,162,4,30,25,16,14,,,,,,,85.00,0.524691358
,gt1ra3B73,266,3,8,183,6,63,47,45,44,38,28,,,,,265.00,1.448087432
,gt1ra3B73,266,4,5,153,2,12,11,,,,,,,,,23.00,0.1503267974
,gt1ra3B73,266,5,7,178,6,54,52,48,45,44,44,,,,,287.00,1.612359551
,gt1ra3B73,266,6,10,176,4,44,35,30,28,,,,,,,137.00,0.7784090909
,gt1ra3B73,266,7,Too small,Too small,,,,,,,,,,,,0.00,
,gt1ra3B73,266,8,7,167,6,29,26,21,19,18,16,,,,,129.00,0.7724550898
,gt1ra3B73,266,9,10,172,7,60,32,31,30,30,24,22,,,,229.00,1.331395349
,gt1ra3B73,266,10,9,176,7,56,44,41,33,28,22,17,,,,241.00,1.369318182
,gt1ra3B73,267,1,6,167,4,34,30,29,19,,,,,,,112.00,0.6706586826
,gt1ra3B73,267,2,3,135,4,25,17,15,10,,,,,,,67.00,0.4962962963
,gt1ra3B73,267,3,9,173,7,37,30,30,26,25,17,17,,,,182.00,1.052023121
,gt1ra3B73,267,4,6,120,4,20,12,10,8,,,,,,,50.00,0.4166666667
,gt1ra3B73,267,5,8,181,7,63,50,34,33,32,30,19,,,,261.00,1.44198895
,gt1ra3B73,267,6,6,170,5,51,30,30,27,15,,,,,,153.00,0.9
,gt1ra3B73,267,7,paper bag,179,5,54,45,44,43,9,,,,,,195.00,1.089385475
,gt1ra3B73,267,8,paper bag,175,3,33,30,25,,,,,,,,88.00,0.5028571429
,,272,1,5,,,,,,,,,,,,,0.00,
,,272,2,5,,,,,,,,,,,,,0.00,
,,272,3,3,,,,,,,,,,,,,0.00,
,,272,4,Too small,,,,,,,,,,,,,0.00,
,,272,5,4,,,,,,,,,,,,,0.00,
,,272,6,4,,,,,,,,,,,,,0.00,
,,272,7,6,,,,,,,,,,,,,0.00,
,,272,8,6,,,,,,,,,,,,,0.00,
,,272,9,4,,,,,,,,,,,,,0.00,
,,272,10,4,,,,,,,,,,,,,0.00,
,,273,1,5,,,,,,,,,,,,,0.00,
,,273,2,4,,,,,,,,,,,,,0.00,
,,273,3,Too small,,,,,,,,,,,,,0.00,
,,273,4,4,,,,,,,,,,,,,0.00,
,,273,5,4,,,,,,,,,,,,,0.00,
,,273,6,4,,,,,,,,,,,,,0.00,
,,273,7,5,,,,,,,,,,,,,0.00,
,,273,8,6,,,,,,,,,,,,,0.00,
,,273,9,4,,,,,,,,,,,,,0.00,
,,273,10,5,,,,,,,,,,,,,0.00,
,,274,1,7,,,,,,,,,,,,,0.00,
,,274,2,7,,,,,,,,,,,,,0.00,
,,274,3,n/a,,,,,,,,,,,,,0.00,
,,274,4,8,,,,,,,,,,,,,0.00,
,,274,5,4,,,,,,,,,,,,,0.00,
,,274,6,7,,,,,,,,,,,,,0.00,
,,274,7,4,,,,,,,,,,,,,0.00,
,,274,8,6,,,,,,,,,,,,,0.00,
,,275,1,5,,,,,,,,,,,,,0.00,
,,275,2,5,,,,,,,,,,,,,0.00,
,,275,3,n/a,,,,,,,,,,,,,0.00,
,,275,4,6,,,,,,,,,,,,,0.00,
,,275,5,4,,,,,,,,,,,,,0.00,
,,275,6,3,,,,,,,,,,,,,0.00,
,,275,7,4,,,,,,,,,,,,,0.00,
,,275,8,4,,,,,,,,,,,,,0.00,
,,275,9,5,,,,,,,,,,,,,0.00,
,,276,1,n/a,,,,,,,,,,,,,0.00,
,,276,2,11,,,,,,,,,,,,,0.00,
,,276,3,n/a,,,,,,,,,,,,,0.00,
,,276,4,11,,,,,,,,,,,,,0.00,
,,276,5,Too small,,,,,,,,,,,,,0.00,
,,277,1,Too small,,,,,,,,,,,,,0.00,
,,277,2,Too small,,,,,,,,,,,,,0.00,
,,277,3,12,,,,,,,,,,,,,0.00,
,,277,4,10,,,,,,,,,,,,,0.00,
,,277,5,9,,,,,,,,,,,,,0.00,
,,277,6,9,,,,,,,,,,,,,0.00,
,,277,7,9,,,,,,,,,,,,,0.00,
,,277,8,7,,,,,,,,,,,,,0.00,
,,277,9,15,,,,,,,,,,,,,0.00,
,,278,1,6,,,,,,,,,,,,,0.00,
,,278,2,6,,,,,,,,,,,,,0.00,
,,278,3,Too small,,,,,,,,,,,,,0.00,
,,278,4,8,,,,,,,,,,,,,0.00,
,,278,5,6,,,,,,,,,,,,,0.00,
,,278,6,6,,,,,,,,,,,,,0.00,
,,278,7,7,,,,,,,,,,,,,0.00,
,,278,8,7,,,,,,,,,,,,,0.00,
,,279,1,5,,,,,,,,,,,,,0.00,
,,279,2,7,,,,,,,,,,,,,0.00,
,,279,3,7,,,,,,,,,,,,,0.00,
,,279,4,6,,,,,,,,,,,,,0.00,
,,279,5,5,,,,,,,,,,,,,0.00,
,,279,6,6,,,,,,,,,,,,,0.00,
,,279,7,5,,,,,,,,,,,,,0.00,
,,279,8,5,,,,,,,,,,,,,0.00,
,,279,9,7,,,,,,,,,,,,,0.00,
,,279,10,5,,,,,,,,,,,,,0.00,
,,280,1,6,,,,,,,,,,,,,0.00,
,,280,2,5,,,,,,,,,,,,,0.00,
,,280,3,5,,,,,,,,,,,,,0.00,
,,280,4,6,,,,,,,,,,,,,0.00,
,,280,5,3,,,,,,,,,,,,,0.00,
,,280,6,5,,,,,,,,,,,,,0.00,
,,280,7,5,,,,,,,,,,,,,0.00,
,,280,8,5,,,,,,,,,,,,,0.00,
,,280,9,4,,,,,,,,,,,,,0.00,
,,281,1,5,,,,,,,,,,,,,0.00,
,,281,2,5,,,,,,,,,,,,,0.00,
,,281,3,6,,,,,,,,,,,,,0.00,
,,281,4,5,,,,,,,,,,,,,0.00,
,,281,5,6,,,,,,,,,,,,,0.00,
,,281,6,4,,,,,,,,,,,,,0.00,
,,281,7,6,,,,,,,,,,,,,0.00,
,,281,8,4,,,,,,,,,,,,,0.00,
,,281,9,7, Plant Height (cm),tiller #,Tiller 1 Length (cm),Tiller 2 Length (cm),Tiller 3 Length (cm),Tiller 4 Length (cm),Tiller 5 Length (cm),Tiller 6 Length (cm),Tiller 7 Length (cm),Tiller 8 Length (cm),Tiller 9 Length (cm),,0.00,
,gt1ra3B73,282,1,11,201,9,79,67,65,61,60,33,31,29,27,,452.00,2.248756219
,gt1ra3B73,282,2,6,188,4,23,21,11,10,,,,,,,65.00,0.3457446809
,gt1ra3B73,282,3,7,208,8,64,54,53,41,32,30,25,14,,,313.00,1.504807692
,gt1ra3B73,282,4,6,193,5,70,30,28,16,15,,,,,,159.00,0.8238341969
,gt1ra3B73,282,5,9,207,9,94,61,58,54,40,40,39,37,22,,445.00,2.149758454
,gt1ra3B73,282,6,6,188,4,23,15,14,13,,,,,,,65.00,0.3457446809
,gt1ra3B73,282,7,7,202,6,56,44,32,32,31,28,,,,,223.00,1.103960396
,gt1ra3B73,282,8,6,208,7,55,49,36,35,33,27,17,,,,252.00,1.211538462
,gt1ra3B73,282,9,7,210,7,63,56,53,30,30,16,13,,,,261.00,1.242857143
,gt1ra3B73,282,10,6,178,3,57,25,17,,,,,,,,99.00,0.5561797753
,gt1ra3B73,283,1,6,197,5,50,49,41,36,15,,,,,,191.00,0.9695431472
,gt1ra3B73,283,2,5,186,5,54,47,44,25,16,,,,,,186.00,1
,gt1ra3B73,283,3,8,193,3,22,15,15,,,,,,,,52.00,0.2694300518
,gt1ra3B73,283,4,7,163,1,15,,,,,,,,,,15.00,0.09202453988
,gt1ra3B73,283,5,Too small,164,4,28,26,17,17,,,,,,,88.00,0.5365853659
,gt1ra3B73,283,6,5,184,2,13,13,,,,,,,,,26.00,0.1413043478
,gt1ra3B73,283,7,6,190,6,45,25,23,20,19,17,,,,,149.00,0.7842105263
,gt1ra3B73,283,8,5,171,3,26,23,19,,,,,,,,68.00,0.3976608187
,gt1ra3B73,283,9,10,195,7,62,55,46,45,40,31,25,,,,304.00,1.558974359
,,288,1,6,,,,,,,,,,,,,0.00,
,,288,2,4,,,,,,,,,,,,,0.00,
,,288,3,5,,,,,,,,,,,,,,
,,288,4,4,,,,,,,,,,,,,,
,,288,5,Too small,,,,,,,,,,,,,,
,,288,6,4,,,,,,,,,,,,,,
,,288,7,3,,,,,,,,,,,,,,
,,288,8,1,,,,,,,,,,,,,,
,,288,9,5,,,,,,,,,,,,,,
,,288,10,Too small,,,,,,,,,,,,,,
,,289,1,3,,,,,,,,,,,,,,
,,289,2,4,,,,,,,,,,,,,,
,,289,3,3,,,,,,,,,,,,,,
,,289,4,4,,,,,,,,,,,,,,
,,289,5,Too small,,,,,,,,,,,,,,
,,289,6,Too small,,,,,,,,,,,,,,
,,289,7,Too small,,,,,,,,,,,,,,
,,289,8,Too small,,,,,,,,,,,,,,
,,290,1,4,,,,,,,,,,,,,,
,,290,2,4,,,,,,,,,,,,,,
,,290,3,4,,,,,,,,,,,,,,
,,290,4,3,,,,,,,,,,,,,,
,,290,5,4,,,,,,,,,,,,,,
,,290,6,6,,,,,,,,,,,,,,
,,291,1,7,,,,,,,,,,,,,,
,,291,2,6,,,,,,,,,,,,,,
,,291,3,5,,,,,,,,,,,,,,
,,291,4,4,,,,,,,,,,,,,,
,,291,5,5,,,,,,,,,,,,,,
,,291,6,4,,,,,,,,,,,,,,
,,291,7,6,,,,,,,,,,,,,,
,,291,8,5,,,,,,,,,,,,,,
,,291,9,6,,,,,,,,,,,,,,
,,291,10,Too small,,,,,,,,,,,,,,
,,292,1,Too small,,,,,,,,,,,,,,
,,292,2,Too small,,,,,,,,,,,,,,
,,292,3,Too small,,,,,,,,,,,,,,
,,292,4,Too small,,,,,,,,,,,,,,
,,292,5,Too small,,,,,,,,,,,,,,
,,293,1,Too small,,,,,,,,,,,,,,
,,293,2,Too small,,,,,,,,,,,,,,
,,293,3,Too small,,,,,,,,,,,,,,
,,293,4,Too small,,,,,,,,,,,,,,
,,293,5,Too small,,,,,,,,,,,,,,
,,293,6,Too small,,,,,,,,,,,,,,
,,293,7,Too small,,,,,,,,,,,,,,
,,293,8,Too small,,,,,,,,,,,,,,
,,293,9,Too small,,,,,,,,,,,,,,
,,293,10,Too small,,,,,,,,,,,,,,
,,294,1,Too small,,,,,,,,,,,,,,
,,294,2,Too small,,,,,,,,,,,,,,
,,294,3,Too small,,,,,,,,,,,,,,
,,294,4,Too small,,,,,,,,,,,,,,
,,294,5,Too small,,,,,,,,,,,,,,
,,294,6,Too small,,,,,,,,,,,,,,
,,294,7,Too small,,,,,,,,,,,,,,
,,294,8,Too small,,,,,,,,,,,,,,
,,294,9,Too small,,,,,,,,,,,,,,
,,294,10,Too small,,,,,,,,,,,,,,
,,295,1,Too small,,,,,,,,,,,,,,
,,295,2,Too small,,,,,,,,,,,,,,
,,295,3,Too small,,,,,,,,,,,,,,
,,295,4,Too small,,,,,,,,,,,,,,
,,295,5,Too small,,,,,,,,,,,,,,
,,295,6,Too small,,,,,,,,,,,,,,
,,295,7,Too small,,,,,,,,,,,,,,
,,295,8,Too small,,,,,,,,,,,,,,
,,295,9,Too small,,,,,,,,,,,,,,
,,295,10,Too small,,,,,,,,,,,,,,
,,296,1,Too small,,,,,,,,,,,,,,
,,296,2,Too small,,,,,,,,,,,,,,
,,296,3,Too small,,,,,,,,,,,,,,
,,296,4,Too small,,,,,,,,,,,,,,
,,296,5,Too small,,,,,,,,,,,,,,
,,296,6,Too small,,,,,,,,,,,,,,
,,296,7,Too small,,,,,,,,,,,,,,
,,296,8,Too small,,,,,,,,,,,,,,
,,296,9,Too small,,,,,,,,,,,,,,
,,296,10,Too small,,,,,,,,,,,,,,
,,297,1,Too small,,,,,,,,,,,,,,
,,297,2,Too small,,,,,,,,,,,,,,
,,297,3,Too small,,,,,,,,,,,,,,
,,297,4,Too small,,,,,,,,,,,,,,
,,297,5,Too small,,,,,,,,,,,,,,
,,297,6,Too small,,,,,,,,,,,,,,
,,297,7,Too small,,,,,,,,,,,,,,
,,297,8,Too small,,,,,,,,,,,,,,
,,297,9,Too small,,,,,,,,,,,,,,
,,297,10,Too small,,,,,,,,,,,,,,
,,298,1,Too small,,,,,,,,,,,,,,
,,298,2,5,,,,,,,,,,,,,,
,,298,3,Too small,,,,,,,,,,,,,,
,,298,4,Too small,,,,,,,,,,,,,,
,,298,5,5,,,,,,,,,,,,,,
,,298,6,Too small,,,,,,,,,,,,,,
,,298,7,Too small,,,,,,,,,,,,,,
,,298,8,Too small,,,,,,,,,,,,,,
,,298,9,Too small,,,,,,,,,,,,,,
,,299,1,7,,,,,,,,,,,,,,
,,299,2,Too small,,,,,,,,,,,,,,
,,299,3,Too small,,,,,,,,,,,,,,
,,299,4,Too small,,,,,,,,,,,,,,
,,299,5,Too small,,,,,,,,,,,,,,
,,299,6,Too small,,,,,,,,,,,,,,
,,299,7,Too small,,,,,,,,,,,,,,
,,299,8,Too small,,,,,,,,,,,,,,
,,304,1,4,,,,,,,,,,,,,,
,,304,2,Too small,,,,,,,,,,,,,,
,,304,3,Too small,,,,,,,,,,,,,,
,,304,4,Too small,,,,,,,,,,,,,,
,,304,5,4,,,,,,,,,,,,,,
,,304,6,Too small,,,,,,,,,,,,,,
,,304,7,Too small,,,,,,,,,,,,,,
,,305,1,Too small,,,,,,,,,,,,,,
,,305,2,5,,,,,,,,,,,,,,
,,305,3,Too small,,,,,,,,,,,,,,
,,305,4,Too small,,,,,,,,,,,,,,
,,305,5,Too small,,,,,,,,,,,,,,
,,305,6,Too small,,,,,,,,,,,,,,
,,305,7,Too small,,,,,,,,,,,,,,
,,** Row 306,did not grow**,,,,,,,,,,,,,,,
,,307,1,Too small,,,,,,,,,,,,,,
,,307,2,Too small,,,,,,,,,,,,,,
,,307,3,Too small,,,,,,,,,,,,,,
,,307,4,Too small,,,,,,,,,,,,,,
,,307,5,Too small,,,,,,,,,,,,,,
,,307,6,Too small,,,,,,,,,,,,,,
,,307,7,Too small,,,,,,,,,,,,,,
,,307,8,Too small,,,,,,,,,,,,,,
,,307,9,Too small,,,,,,,,,,,,,,
,,308,1,Too small,,,,,,,,,,,,,,
,,308,2,Too small,,,,,,,,,,,,,,
,,308,3,Too small,,,,,,,,,,,,,,
,,308,4,Too small,,,,,,,,,,,,,,
,,308,5,Too small,,,,,,,,,,,,,,
,,308,6,Too small,,,,,,,,,,,,,,
,,308,7,Too small,,,,,,,,,,,,,,
,,308,8,Too small,,,,,,,,,,,,,,
,,308,9,Too small,,,,,,,,,,,,,,
,,308,10,Too small,,,,,,,,,,,,,,
,,309,1,Too small,,,,,,,,,,,,,,
,,309,2,Too small,,,,,,,,,,,,,,
,,309,3,Too small,,,,,,,,,,,,,,
,,309,4,Too small,,,,,,,,,,,,,,
,,309,5,Too small,,,,,,,,,,,,,,
,,309,6,Too small,,,,,,,,,,,,,,
,,309,7,Too small,,,,,,,,,,,,,,
,,309,8,Too small,,,,,,,,,,,,,,
,,309,9,Too small,,,,,,,,,,,,,,
,,309,10,Too small,,,,,,,,,,,,,,
,,310,1,Too small,,,,,,,,,,,,,,
,,310,2,Too small,,,,,,,,,,,,,,
,,310,3,Too small,,,,,,,,,,,,,,
,,310,4,Too small,,,,,,,,,,,,,,
,,310,5,Too small,,,,,,,,,,,,,,
,,310,6,6,,,,,,,,,,,,,,
,,311,1,Too small,,,,,,,,,,,,,,
,,311,2,5,,,,,,,,,,,,,,
,,311,3,9,,,,,,,,,,,,,,
,,311,4,Too small,,,,,,,,,,,,,,
,,311,5,Too small,,,,,,,,,,,,,,
,,311,6,6,,,,,,,,,,,,,,
,,311,7,Too small,,,,,,,,,,,,,,
,,311,8,6,,,,,,,,,,,,,,
,,312,1,6,,,,,,,,,,,,,,
,,312,2,Too small,,,,,,,,,,,,,,
,,312,3,Too small,,,,,,,,,,,,,,
,,312,4,6,,,,,,,,,,,,,,
,,312,5,Too small,,,,,,,,,,,,,,
,,312,6,Too small,,,,,,,,,,,,,,
,,312,7,Too small,,,,,,,,,,,,,,
,,312,8,Too small,,,,,,,,,,,,,,
,,313,1,5,,,,,,,,,,,,,,
,,313,2,Too small,,,,,,,,,,,,,,
,,313,3,11,,,,,,,,,,,,,,
,,313,4,5,,,,,,,,,,,,,,
,,313,5,Too small,,,,,,,,,,,,,,
,,313,6,6,,,,,,,,,,,,,,
,,313,7,Too small,,,,,,,,,,,,,,
,,314,1,8,,,,,,,,,,,,,,
,,314,2,9,,,,,,,,,,,,,,
,,314,3,8,,,,,,,,,,,,,,
,,314,4,6,,,,,,,,,,,,,,
,,314,5,12,,,,,,,,,,,,,,
,,314,6,7,,,,,,,,,,,,,,
,,314,7,8,,,,,,,,,,,,,,
,,314,8,7,,,,,,,,,,,,,,
,,314,9,Too small,,,,,,,,,,,,,,
,,315,1,Too small,,,,,,,,,,,,,,
,,315,2,5,,,,,,,,,,,,,,
,,315,3,7,,,,,,,,,,,,,,
,,315,4,Too small,,,,,,,,,,,,,,
,,315,5,8,,,,,,,,,,,,,,
,,315,6,5,,,,,,,,,,,,,,
,,315,7,8,,,,,,,,,,,,,,
,,315,8,Too small,,,,,,,,,,,,,,
,,315,9,Too small,,,,,,,,,,,,,,
,,315,10,8,,,,,,,,,,,,,,
,,320,1,3,,,,,,,,,,,,,,
,,320,2,4,,,,,,,,,,,,,,
,,320,3,4,,,,,,,,,,,,,,
,,320,4,4,,,,,,,,,,,,,,
,,320,5,3,,,,,,,,,,,,,,
,,320,6,3,,,,,,,,,,,,,,
,,320,7,3,,,,,,,,,,,,,,
,,320,8,Too small,,,,,,,,,,,,,,
,,320,9,Too small,,,,,,,,,,,,,,
,,321,1,Too small,,,,,,,,,,,,,,
,,321,2,Too small,,,,,,,,,,,,,,
,,321,3,Too small,,,,,,,,,,,,,,
,,321,4,3,,,,,,,,,,,,,,
,,321,5,Too small,,,,,,,,,,,,,,
,,321,6,3,,,,,,,,,,,,,,
,,321,7,5,,,,,,,,,,,,,,
,,321,8,Too small,,,,,,,,,,,,,,
,,322,1,Too small,,,,,,,,,,,,,,
,,322,2,Too small,,,,,,,,,,,,,,
,,322,3,4,,,,,,,,,,,,,,
,,322,4,Too small,,,,,,,,,,,,,,
,,322,5,4,,,,,,,,,,,,,,
,,322,6,Too small,,,,,,,,,,,,,,
,,323,1,Too small,,,,,,,,,,,,,,
,,323,2,Too small,,,,,,,,,,,,,,
,,323,3,Too small,,,,,,,,,,,,,,
,,323,4,Too small,,,,,,,,,,,,,,
,,323,5,Too small,,,,,,,,,,,,,,
,,323,6,4,,,,,,,,,,,,,,